,S,I,R
0.0,49943.0,57.0,0.0
0.01,49920.266212362694,168.00638253483942,414.2357592691297
0.02,49619.766822012076,486.3463493288121,903.9538299125849
0.03,48559.06144132347,1364.519360984243,1599.1458952403807
0.04,45623.769830208876,3585.4234913210394,2831.3453879174604
0.05,39083.06442371658,8189.686551504354,5290.8038433630645
0.060000000000000005,28667.534230899655,14588.167855968668,9836.1252401364
0.07,18032.39536781913,19095.52393476956,16497.489759811913
0.08,10720.533926777272,19398.494239465064,24045.32521714749
0.09,6673.919884558183,16903.13849527325,31131.65580502217
0.09999999999999999,4564.920912845369,13580.490224739497,37113.13476574085
0.10999999999999999,3451.0426887251756,10459.219897952058,41903.64093575895
0.11999999999999998,2847.2780960313844,7874.88237054099,45652.68211183734
0.12999999999999998,2518.7077202900027,5855.629869784203,48567.08157554514
0.13999999999999999,2348.6558996521153,4324.350309268207,50840.68373327562
0.15,2275.9815822568708,3182.07747063198,52633.65308280519
0.16,2266.6371813893343,2337.9048538984935,54071.00151352684
0.17,2300.5013626369,1717.2898567843174,55247.45134576444
0.18000000000000002,2365.0195788518477,1262.2594459665825,56233.589130381624
0.19000000000000003,2451.980108176985,928.9889243053503,57081.510849430866
0.20000000000000004,2555.796862076397,684.8870644973181,57829.453980425395
0.21000000000000005,2672.548893877347,505.95190575243726,58505.40219713688
0.22000000000000006,2799.416795780673,374.60908666177147,59129.81064579385
0.23000000000000007,2934.3363722438703,278.03243725161144,59717.631685782275
0.24000000000000007,3075.776454553641,206.87582923945553,60279.80523101645
0.25000000000000006,3222.5907411743196,154.33172743525313,60824.348364451085
0.26000000000000006,3373.9156753729835,115.43958167867487,61357.1490748436
0.2700000000000001,3529.098120450043,86.58104836417158,61882.543366386686
0.2800000000000001,3687.643032782103,65.11300113465765,62403.73458142426
0.2900000000000001,3849.174981636881,49.10128112132375,62923.09813691396
0.3000000000000001,4013.4095060583113,37.127700496353874,63442.40317057218
0.3100000000000001,4180.13160318168,28.15014117912979,63962.973960501615
0.3200000000000001,4349.179466975881,21.401072786371756,64485.80767521468
0.3300000000000001,4520.4321372337845,16.313853897381048,65011.66043016115
0.34000000000000014,4693.800085338132,12.469129137486922,65541.11031173026
0.35000000000000014,4869.218019232348,9.55577306629017,66074.60363531194
0.36000000000000015,5046.63937286368,7.342376920820412,66612.48897610037
0.37000000000000016,5226.032078438355,5.6563881172577295,67155.04226439723
0.38000000000000017,5407.375318045424,4.368814581472226,67702.48533678828
