,S,I,R
0.0,999999.0,1.0,0.0
0.01,999996.8542157278,2.0728184771319285,1.0729657951476081
0.02,999992.4065723561,4.296556758723963,3.296870885154633
0.03,999983.1877163616,8.9058568892316,7.906426749208814
0.04,999964.0795784332,18.45960162308628,17.46081994374461
0.05,999924.4753216006,38.260551192007384,37.264127207479135
0.060000000000000005,999842.3975538184,79.29456241003756,78.30788377155878
0.07,999672.3285069498,164.30830341674834,163.3631896334672
0.08,999320.0789345853,340.3439262372101,339.57713917752363
0.09,998591.1017533417,704.4500107695292,704.4482358887875
0.09999999999999999,997085.0875504732,1455.8197136739113,1459.0927358530066
0.10999999999999999,993984.8139839924,2998.9785458898214,3016.207470117767
0.11999999999999998,987649.0350837928,6137.3967410341165,6213.56817517311
0.12999999999999998,974891.9148397042,12393.722948589735,12714.362211706037
0.13999999999999999,949954.3046091113,24373.540802612722,25672.15458827598
0.15,903894.2260409838,45578.5442177121,50527.22974130404
0.16,827002.7381196895,78009.0944987804,94988.16738153007
0.17,717560.5682644243,116469.0141750164,165970.41756055926
0.18000000000000002,591232.208209087,145975.44321390605,262792.34857700695
0.19000000000000003,474028.42592149705,152695.694725406,373275.87935309694
0.20000000000000004,382927.3948167352,137040.48448598295,480032.1206972819
0.21000000000000005,319628.5592489396,109930.60481234499,570440.8359387154
0.22000000000000006,278065.32792607334,81759.91393468539,640174.7581392413
0.23000000000000007,251380.22803183974,57899.14321391725,690720.628754243
0.24000000000000007,234351.91180846666,39736.677416239654,725911.4107752937
0.25000000000000006,223486.69422106506,26731.936493531517,749781.3692854034
0.26000000000000006,216547.19753771357,17755.357424589914,765697.4450376965
0.2700000000000001,212115.98476823635,11697.435905987655,776186.579325776
0.2800000000000001,209293.87053695405,7666.469533150685,783039.6599298952
0.2900000000000001,207507.68527326407,5008.028514574772,787484.2862121611
0.3000000000000001,206390.25744783788,3264.640670825747,790345.1018813363
0.3100000000000001,205705.41903642364,2125.416364473579,792169.1645991027
0.3200000000000001,205300.80151663482,1382.6574335138748,793316.5410498512
0.3300000000000001,205077.88648383386,899.0646293224611,794023.0488868436
0.34000000000000014,204972.87589687578,584.4754266581388,794442.6486764661
0.35000000000000014,204944.41100354673,379.92788344930835,794675.661113004
0.36000000000000015,204965.6592180542,246.96474373521767,794787.3760382106
0.37000000000000016,205019.2023859223,160.54366097200784,794820.2539531057
0.38000000000000017,205093.72884690246,104.37400989335691,794801.8971432041
0.3900000000000002,205181.89014992674,67.86460997655414,794750.2452400966
0.4000000000000002,205278.91116989174,44.13195159093594,794676.9568785172
0.4100000000000002,205381.6882306446,28.702930992831938,794589.6088383624
0.4200000000000002,205488.20361730066,18.670917302754717,794493.1254653964
0.4300000000000002,205597.14534804935,12.147118784974953,794390.7075331656
0.4400000000000002,205707.66017390435,7.904062424399399,794284.4357636712
0.45000000000000023,205819.19308510495,5.143961527899354,794175.6629533671
0.46000000000000024,205931.38300428656,3.348234375995516,794065.2687613374
0.47000000000000025,206043.9949826345,2.1797421139959985,793953.8252752514
0.48000000000000026,206156.87611627192,1.4192722771086084,793841.7046114509
0.49000000000000027,206269.92687955152,0.9242677537432147,793729.1488526947
0.5000000000000002,206383.08248041346,0.6020068680012007,793616.3155127185
0.5100000000000002,206496.30073196057,0.3921721105663917,793503.3070959288
0.5200000000000002,206609.55416153366,0.25551924205920595,793390.1903192243
0.5300000000000002,206722.82487590655,0.16651071194120515,793277.0086133815
0.5400000000000003,206836.1012193961,0.1085256546151662,793163.7902549494
0.5500000000000003,206949.37559849693,0.07074476708711241,793050.553656736
0.5600000000000003,207062.64306561818,0.04612409903182785,792937.3108102828
0.5700000000000003,207175.90039687898,0.030076904263162844,792824.0695262168
0.5800000000000003,207289.1454915129,0.01961598075377097,792710.8348925064
0.5900000000000003,207402.37698065932,0.012795538500223438,792597.6102238022
0.6000000000000003,207515.59397250088,0.008347929030188547,792484.3976795701
0.6100000000000003,207628.79588619966,0.005447165351819247,792371.198666635
0.6200000000000003,207741.98234367525,0.003554954036244866,792258.0141013707
0.6300000000000003,207855.153099066,0.002320432994646152,792144.844580501
0.6400000000000003,207968.30799274475,0.00151487108382859,792031.6904923841
0.6500000000000004,208081.44692133652,0.000989131222722984,791918.5520895323
0.6600000000000004,208194.56981816655,0.00064595717685019,791805.4295358763
0.6700000000000004,208307.67664050806,0.00042191514635919286,791692.3229375768
0.6800000000000004,208420.7673612635,0.000275624657365727,791579.2323631118
0.6900000000000004,208533.8419635373,0.00018008708541100655,791466.1578563756
0.7000000000000004,208646.90043709395,0.00011768432312426126,791353.0994452217
0.7100000000000004,208759.94277604675,7.691768242926153e-05,791240.0571470356
0.7200000000000004,208872.96897734888,5.0281160040950356e-05,791127.03097237
0.7300000000000004,208985.9790398084,3.287425347522344e-05,791014.0209273173
0.7400000000000004,209098.97296344492,2.1497007712448872e-05,790901.0270150581
0.7500000000000004,209211.95074906969,1.4059556369402606e-05,790788.0492368708
0.7600000000000005,209324.91239801102,9.196799205947615e-06,790675.0875927922
0.7700000000000005,209437.85791193522,6.0169065197527315e-06,790562.1420820479
0.7800000000000005,209550.7872927293,3.9371438812609634e-06,790449.2127033336
0.7900000000000005,209663.70054242457,2.5766816258271133e-06,790336.2994549988
0.8000000000000005,209776.5976631465,1.6865983741448751e-06,790223.4023351669
0.8100000000000005,209889.47865708204,1.104165126964463e-06,790110.5213418138
0.8200000000000005,210002.34352645834,7.229825220586956e-07,789997.6564728187
0.8300000000000005,210115.19227352858,4.734705629969606e-07,789884.807725998
0.8400000000000005,210228.02490056297,3.1011985334260706e-07,789771.9750991269
0.8500000000000005,210340.84140984275,2.0315969383257142e-07,789659.1585899541
0.8600000000000005,210453.6418036562,1.3311190909737474e-07,789546.3581962107
0.8700000000000006,210566.4260842962,8.723035651060858e-08,789433.5739156166
0.8800000000000006,210679.19425405838,5.717283732984226e-08,789320.8057458845
0.8900000000000006,210791.9463152402,3.7478585936423316e-08,789208.0536847224
0.9000000000000006,210904.68227014013,2.4572423441982545e-08,789095.3177298354
0.9100000000000006,211017.40212105718,1.611328607763694e-08,788982.5978789268
0.9200000000000006,211130.10587029066,1.0567969904289915e-08,788869.8941296989
0.9300000000000006,211242.7935201399,6.932187981972749e-09,788757.2064798533
0.9400000000000006,211355.4650729042,4.547999387722408e-09,788644.5349270913
0.9500000000000006,211468.12053088262,2.9842950411974394e-09,788531.8794691145
0.9600000000000006,211580.75989637407,1.9585488147356697e-09,788419.2401036241
0.9700000000000006,211693.38317167718,1.2855776596672024e-09,788306.6168283216
0.9800000000000006,211805.9903590903,8.439826070749598e-10,788194.0096409089
0.9900000000000007,211918.58146091146,5.541660680724519e-10,788081.418539088
1.0000000000000007,212031.15647943842,3.639297902697284e-10,787968.8435205612
1.0100000000000007,212143.7154169686,2.3903776408728726e-10,787856.2845830312
1.0200000000000007,212256.25827579907,1.5703145410489937e-10,787743.7417242008
1.0300000000000007,212368.78505822667,1.0317583693872189e-10,787631.2149417732
1.0400000000000007,212481.29576654782,6.78016952247963e-11,787518.7042334521
1.0500000000000007,212593.79040305867,4.4562987533627485e-11,787406.2095969412
1.0600000000000007,212706.268970055,2.929403718941425e-11,787293.731029945
1.0700000000000007,212818.73146983233,1.9259957864896062e-11,787181.2685301676
1.0800000000000007,212931.17790468576,1.2664924377521019e-11,787068.8220953142
1.0900000000000007,213043.60827691015,8.329540102983336e-12,786956.3917230897
1.1000000000000008,213156.0225888,5.479117200820711e-12,786843.9774112
1.1100000000000008,213268.42084264944,3.6047179695725554e-12,786731.5791573505
1.1200000000000008,213380.80304075236,2.3719368223089883e-12,786619.1969592476
1.1300000000000008,213493.16918540225,1.5610113379493743e-12,786506.8308145977
1.1400000000000008,213605.5192788923,1.0274959111863714e-12,786394.4807211076
1.1500000000000008,213717.85332351536,6.764337091136273e-13,786282.1466764845
1.1600000000000008,213830.17132156398,4.4539103003989623e-13,786169.8286784359
1.1700000000000008,213942.47327533035,2.933112802870079e-13,786057.5267246695
1.1800000000000008,214054.75918710636,1.9319110646007012e-13,785945.2408128935
1.1900000000000008,214167.02905918355,1.2726721752311132e-13,785832.9709408163
1.2000000000000008,214279.28289385315,8.385269274073606e-14,785720.7171061467
1.2100000000000009,214391.52069340603,5.525715403200692e-14,785608.4793065939
1.2200000000000009,214503.74246013278,3.6419253380188496e-14,785496.2575398672
1.2300000000000009,214615.94819632365,2.400736960064069e-14,785384.0518036763
1.2400000000000009,214728.13790426851,1.5828112358260467e-14,785271.8620957314
1.2500000000000009,214840.31158625698,1.0437215871244957e-14,785159.6884137429
1.260000000000001,214952.46924457833,6.883529741209077e-15,785047.5307554216
1.270000000000001,215064.61088152145,4.5405524433765696e-15,784935.3891184785
1.280000000000001,215176.736499375,2.9955540833165444e-15,784823.263500625
1.290000000000001,215288.8461004272,1.9765899815480323e-15,784711.1538995728
1.300000000000001,215400.93968696604,1.304448568982393e-15,784599.060313034
1.310000000000001,215513.01726127914,8.610101431921313e-16,784486.982738721
1.320000000000001,215625.07882565376,5.684084179143243e-16,784374.9211743464
1.330000000000001,215737.12438237693,3.7530439541768893e-16,784262.8756176232
1.340000000000001,215849.15393373524,2.4784359895856116e-16,784150.8460662649
1.350000000000001,215961.16748201504,1.6369773095735096e-16,784038.8325179851
1.360000000000001,216073.1650295023,1.0813804132016473e-16,783926.8349704979
1.370000000000001,216185.1465784827,7.144720027483763e-17,783814.8534215174
1.380000000000001,216297.1121312416,4.721313057807674e-17,783702.8878687585
1.390000000000001,216409.06169006397,3.1204069633572175e-17,783590.9383099362
1.400000000000001,216520.99525723452,2.06267367333688e-17,783479.0047427657
1.410000000000001,216632.9128350376,1.3637056817422175e-17,783367.0871649627
1.420000000000001,216744.81442575724,9.017405540154427e-18,783255.1855742431
1.430000000000001,216856.70003167714,5.9636668013335485e-18,783143.2999683232
1.440000000000001,216968.5696550807,3.9447178698742074e-18,783031.4303449197
