,S,I,R
0.0,999999.0,1.0,0.0
0.001,1000165.5098839342,1.200102644252677,833.7901801299338
0.002,1000332.138815024,1.4399837259229051,1668.4225352503177
0.003,1000498.8775140768,1.727498376866311,2503.8994909234225
0.004,1000665.7148473053,2.0720424951988283,3340.223787541358
0.005,1000832.6374646096,2.484852910477511,4177.398541880969
0.006,1000999.6293677988,2.9793656225271867,5015.427320643478
0.007,1001166.6713952818,3.5716432705023067,5854.314228296239
0.008,1001333.7406071781,4.2808851165161785,6694.064011978868
0.009000000000000001,1001500.8095517434,5.13003535859409,7534.68218676576
0.010000000000000002,1001667.8453903641,6.14650859637241,8376.175185207554
0.011000000000000003,1001834.8088540455,7.363054849464025,9218.55053582454
0.012000000000000004,1002001.6529991807,8.818790778932316,10061.817076117954
0.013000000000000005,1002168.321724269,10.560428812678236,10905.985206727353
0.014000000000000005,1002334.7480019918,12.64374187475399,11751.067194625686
0.015000000000000006,1002500.8517724298,15.135308543056599,12597.077534746002
0.016000000000000007,1002666.5374329566,18.11459191820548,13444.033381219813
0.017000000000000008,1002831.6908481852,21.676415525408697,14291.95506152988
0.01800000000000001,1002996.1757889086,25.933911482306485,15140.866689402637
0.01900000000000001,1003159.8296918526,31.02203029333373,15990.796895261965
0.02000000000000001,1003322.4586117499,37.10171838103309,16841.779696624664
0.02100000000000001,1003483.8312131701,44.364889315300715,17693.855535043058
0.022000000000000013,1003643.6716210077,53.04033821561514,18547.0725112147
0.023000000000000013,1003801.6509147483,63.40077664023025,19401.487855828786
0.024000000000000014,1003957.3770116305,75.77119821578856,20257.169680775114
0.025000000000000015,1004110.3826365133,90.53882420869596,21114.19906370665
0.026000000000000016,1004260.1110203272,108.1649242557713,21972.67252885902
0.027000000000000017,1004405.8989029299,129.19886178968778,22832.704998769743
0.028000000000000018,1004546.9563382453,154.2947777448738,23694.433305434715
0.02900000000000002,1004682.3427076931,184.23140156272407,24558.020365874803
0.03000000000000002,1004810.9382397811,219.93556722585973,25423.660146509694
0.03100000000000002,1004931.4102066502,262.5101161988047,26291.58356367357
0.03200000000000002,1005042.1728192794,313.2669911749276,27162.065494663977
0.03300000000000002,1005141.3396685639,373.7664671480475,28035.43310559337
0.03400000000000002,1005226.6673557685,445.86363253216285,28912.075739817126
0.035000000000000024,1005295.4887187993,531.7634260617821,29792.456654762078
0.036000000000000025,1005344.633785932,634.0857583770871,30677.126946614546
0.037000000000000026,1005370.3362715653,755.9425038821327,31566.742062709465
0.03800000000000003,1005368.1230648698,901.0284417548439,32462.08137187296
0.03900000000000003,1005332.6837480234,1073.728557340653,33364.07134479363
0.04000000000000003,1005257.7167133864,1279.244487815507,34273.81299118611
0.04100000000000003,1005135.7479278273,1523.7433081244246,35192.61430952752
0.04200000000000003,1004957.9178202482,1814.5323006435274,36122.028629871245
0.04300000000000003,1004713.7311532452,2160.263825554818,37063.89987181225
0.04400000000000003,1004390.7640978897,2571.1748917854193,38020.4158987684
0.04500000000000003,1003974.3220897146,3059.3664927757686,38994.17132622629
0.046000000000000034,1003447.0414490164,3639.128173852349,39988.24133406811
0.047000000000000035,1002788.4272683241,4327.313573158608,41006.268238172706
0.048000000000000036,1001974.3198063574,5143.772730229704,42052.562787883195
0.04900000000000004,1000976.281728178,6111.846648687885,43132.222363161956
0.05000000000000004,999760.899203022,7258.928741117255,44251.26843188448
0.05100000000000004,998288.9914006847,8617.096113399686,45416.80576911923
0.05200000000000004,996514.7257003463,10223.810812360478,46637.206000657636
0.05300000000000004,994384.6404506466,12122.686706651306,47922.31796205762
0.05400000000000004,991836.5840471769,14364.311015218545,49283.7070926843
0.05500000000000004,988798.5892271182,17007.099929650798,50734.92551872503
0.05600000000000004,985187.7157677915,20118.154469985027,52291.813498834454
0.057000000000000044,980908.9142581605,23774.06477904722,53972.83135829206
0.058000000000000045,975853.9893099974,28061.58766256043,55799.41873772934
0.059000000000000045,969900.7732655249,33078.09275506074,57796.374719573054
0.060000000000000046,962912.6613005069,38931.63729708655,59992.24794776581
0.06100000000000005,954738.7047819657,45740.48938107887,62419.72002415036
0.06200000000000005,945214.5087801841,53631.87782204193,65115.95812580731
0.06300000000000004,934164.225691617,62739.709555851085,68122.90398383707
0.06400000000000004,921403.9698135355,73200.97252308679,71487.45642488268
0.06500000000000004,906746.9822610309,85150.54775029601,75261.49437286537
0.06600000000000004,890010.8317086443,98714.2075391705,79501.67791817828
0.06700000000000005,871026.8207592039,113999.69851375463,84268.95890164142
0.06800000000000005,849651.5583957864,131086.01778222833,89627.73230075935
0.06900000000000005,825780.3437327801,150011.29646156257,95644.56895400335
0.07000000000000005,799361.5942282103,170760.09483332763,102386.49219267834
0.07100000000000005,770411.0856492864,193251.34209568411,109918.7981233867
0.07200000000000005,739024.3365436171,217328.53592439898,118302.47159579737
0.07300000000000005,705385.190102668,242754.03331145443,127591.31350058074
0.07400000000000005,669768.6591882885,269209.1847903275,137828.96151760354
0.07500000000000005,632536.5143874384,296301.593444183,149046.0430530097
0.07600000000000005,594124.9341660792,323579.90891230275,161257.73107890156
0.07700000000000005,555024.6974624889,350555.41091093526,174461.96801917572
0.07800000000000006,515755.65048565017,376728.4348196537,188638.57336477886
0.07900000000000006,476838.21498552506,401616.7459576294,203749.36112715982
0.08000000000000006,438765.2443507245,424782.54529667675,219739.27802755684
0.08100000000000006,401977.4259895035,445855.0161724284,236538.454404828
0.08200000000000006,366844.7115827707,464546.1378312111,254064.96041556683
0.08300000000000006,333655.140668587,480658.66992631106,272227.9979533396
0.08400000000000006,302611.2059258107,494086.4463548037,290931.2415282114
0.08500000000000006,273832.8704763469,504808.1303378438,310076.06588420755
0.08600000000000006,247365.6681502265,512876.2072843465,329564.4528705552
0.08700000000000006,223192.04688950203,518403.1930183353,349301.43981043994
0.08800000000000006,201244.19475958962,521546.88532364136,369197.041944966
0.08900000000000007,181416.89916354598,522496.11522870965,389167.64193407405
0.09000000000000007,163579.40492594644,521457.9945253054,409136.884253958
0.09100000000000007,147585.65259591507,518647.2122231098,429036.14043944003
0.09200000000000007,133282.62986977116,514277.5678675376,448804.6243435077
0.09300000000000007,120516.82859504882,508555.6683164864,468389.23835654627
0.09400000000000007,109138.96652671673,501676.5537595912,487744.2256308653
0.09500000000000007,99007.22138789801,493820.94057499664,506830.69316320773
0.09600000000000007,89989.25520159594,485153.7500923646,525616.0587000177
0.09700000000000007,81963.29929139315,475823.6117111694,544073.4626184474
0.09800000000000007,74818.54127250858,465963.068586635,562181.1752493635
0.09900000000000007,68455.01678630422,455689.26172492723,579922.0210476498
0.10000000000000007,62783.16853403917,445104.9158328336,597282.8337087742
0.10100000000000008,57723.19789599223,434299.4931836236,614253.950683807
0.10200000000000008,53204.30228070313,423350.41809921776,630828.7513480118
0.10300000000000008,49163.86501263764,412324.3039840639,647003.2400793049
0.10400000000000008,45546.64382384695,401278.13763855555,662775.6734531793
0.10500000000000008,42303.988208533825,390260.3927105722,678146.2294365985
0.10600000000000008,39393.104205887765,379312.0566240333,693116.7156766091
0.10700000000000008,36776.37677103613,368467.5641299697,707690.3135783192
0.10800000000000008,34420.75403293389,357755.63662002946,721871.3547335037
0.10900000000000008,32297.19379327898,347200.0302418549,735665.1263063133
0.11000000000000008,30380.170084307858,336820.19823375944,749077.7021408034
0.11100000000000008,28647.236078463167,326631.8741967993,762115.7965791953
0.11200000000000009,27078.638826888553,316647.583581117,774786.6382370391
0.11300000000000009,25656.98097107291,306877.0907280772,787097.8612494352
0.11400000000000009,24366.924558098905,297327.7885594402,799057.4117666133
0.11500000000000009,23194.9322768811,288005.03756663145,810673.467728425
0.11600000000000009,22129.041737628584,278912.4602150988,821954.3701805266
0.11700000000000009,21158.668782562207,270052.19630025496,832908.564607719
0.11800000000000009,20274.436204499158,261425.12421146574,843544.5509513767
0.11900000000000009,19468.024636579732,253031.05250323398,853870.8411485384
0.12000000000000009,18732.04274590738,244868.88565229005,863895.9231811775
0.1210000000000001,18059.914207495745,236936.76740293644,873628.230756911
0.1220000000000001,17445.779248383984,229232.20467332614,883076.1178586078
0.1230000000000001,16884.40883372999,221752.17461203603,892247.8375017225
0.1240000000000001,16371.129817612702,214493.2170551838,901151.5241263779
0.12500000000000008,15901.759602782118,207451.51433625357,909795.1791277899
0.12600000000000008,15472.549047919856,200622.96014008386,918186.6590950205
0.12700000000000009,15080.132530627587,194003.21886532093,926333.6663855371
0.12800000000000009,14721.484221924318,187587.7767623158,934243.7417128193
0.1290000000000001,14393.879756013708,181371.98594241534,941924.2584673016
0.1300000000000001,14094.862589835888,175351.10220660776,949382.4185281772
0.1310000000000001,13822.214442607778,169520.31751358486,956625.2493557967
0.1320000000000001,13573.929288133826,163874.7877968373,963659.602182263
0.1330000000000001,13348.19044387598,158409.65674507478,970492.1511419425
0.1340000000000001,13143.35036214413,153120.0760780059,977129.3932044959
0.1350000000000001,12957.912781653353,148001.22277853623,983577.6487911239
0.1360000000000001,12790.516943266168,143048.3136811878,989843.0629704068
0.1370000000000001,12639.92361301583,138256.61776366056,995931.6071437208
0.1380000000000001,12505.00268937148,133621.46644278397,1001849.0811420223
0.1390000000000001,12384.722200918217,129138.2621366362,1007601.1156660498
0.1400000000000001,12278.138525838904,124802.48532047766,1013193.1750109098
0.1410000000000001,12184.387686362494,120609.70027461115,1018630.5600237696
0.1420000000000001,12102.677590168387,116555.55969670233,1023918.4112501334
0.1430000000000001,12032.281107022332,112635.8083289253,1029061.7122300619
0.1440000000000001,11972.529883021569,108846.28573106701,1034065.2929108242
0.1450000000000001,11922.808807049878,105182.92831402627,1038933.8331469445
0.1460000000000001,11882.551054647907,101641.77073363302,1043671.8662625144
0.1470000000000001,11851.233643714217,98218.94673209144,1048283.7826540488
0.1480000000000001,11828.373444459925,94910.68950336198,1052773.833415151
0.1490000000000001,11813.523593009084,91713.33164922113,1057146.1339668543
0.1500000000000001,11806.270264109342,88623.30478438539,1061404.6676797874
0.1510000000000001,11806.229763714293,85637.13884179396,1065553.289476311
0.1520000000000001,11813.045906824456,82751.46112277317,1069595.7294025137
0.1530000000000001,11826.38765001774,79962.99513123318,1073535.5961614859
0.1540000000000001,11845.946951639678,77268.55922617023,1077376.3806006284
0.1550000000000001,11871.436835725191,74665.06512247465,1081121.459146924
0.1560000000000001,11902.589638444317,72149.5162662996,1084774.097185124
0.1570000000000001,11939.155418253977,69719.00610795793,1088337.4523747005
0.1580000000000001,11980.90051303881,67370.71629243017,1091814.5779021992
0.1590000000000001,12027.606229373609,65101.91478503046,1095208.4256663122
0.16000000000000011,12079.067650669784,62909.95394754905,1098521.8493935901
0.16100000000000012,12135.092552406262,60792.26857822903,1101757.607683235
0.16200000000000012,12195.500413915355,58746.37392720964,1104918.3669798735
0.16300000000000012,12260.121517317235,56769.86369754925,1108006.7044735993
0.16400000000000012,12328.796125190858,54860.408040602226,1111025.1109269278
0.16500000000000012,12401.373729450259,53015.75155334524,1113975.9934285937
0.16600000000000012,12477.712364676805,51233.711284208395,1116861.6780743895
0.16700000000000012,12557.67797985223,49512.174753050494,1119684.4125754575
0.16800000000000012,12641.143863054522,47849.09799010965,1122446.3687946454
0.16900000000000012,12727.990114228127,46242.503598047944,1125149.645211692
0.17000000000000012,12818.103161629382,44690.47884058079,1127796.269318154
0.17100000000000012,12911.375317984744,43191.17376062795,1130388.1999430978
0.17200000000000013,13007.704372789129,41742.7993304352,1132927.3295106802
0.17300000000000013,13106.993217520105,40343.62563568597,1135415.4862308246
0.17400000000000013,13209.149500855401,38991.98009524375,1137854.436224262
0.17500000000000013,13314.085311260287,37686.24571783347,1140245.885583263
0.17600000000000013,13421.716884561696,36424.859396677224,1142591.482369429
0.17700000000000013,13531.964334350467,35206.31024284311,1144892.8185499436
0.17800000000000013,13644.75140325482,34029.13795784073,1147151.4318737036
0.17900000000000013,13760.0052333095,32891.93124579959,1149368.807688773
0.18000000000000013,13877.656153808211,31793.32626539458,1151546.3807026057
